InChIKey,solute_id,smiles_canon,molecular_weight,TPSA,polarity_class,size_class,hybrid_class
RTNXNRZZXYBWJZ-UHFFFAOYSA-N,solute_6784,CC(C)C(CCN1CCCCC1)(C(N)=O)c1cccc2ccccc12,338.495,46.33,polar,large,"polar,large"
DIFUVRDFPAVFKW-GOOHIXEASA-N,solute_6785,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1C.CCCO.O=[N+]([O-])O,473.6140000000002,107.15,polar,large,"polar,large"
PYSOHOOUXFWCFF-UHFFFAOYSA-N,solute_6787,COc1ccc2c(=O)c3ccccc3oc2c1CN1CCCCC1,323.39200000000017,42.68,polar,large,"polar,large"
XUNAJGRWRKIEPV-ISLYRVAYSA-N,solute_6788,CN(Cc1ccc(Cl)cc1)N=Nc1ccc(C(=O)O)cc1,303.749,65.26,polar,large,"polar,large"
ZCBJDQBSLZREAA-UHFFFAOYSA-N,solute_6789,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)Oc3ccccc3NC2=O)cc1,417.4170000000001,90.93,polar,large,"polar,large"
WYRBITQXPQGTBL-UHFFFAOYSA-N,solute_6790,O=C(CC(c1ccccc1)c1ccccc1)c1ccccc1,286.374,17.07,non-polar,small,"non-polar,small"
MKLLVYALIHGMKY-UHFFFAOYSA-N,solute_6791,CN1C(=O)CC2(C1=O)c1ccccc1CCc1ccccc12,291.35,37.38,polar,small,"polar,small"
SMPOXMYVWIXCMT-UHFFFAOYSA-N,solute_6792,COc1c(O)ccc2c1N(CCCN(C)C)c1cc(Cl)ccc1S2,364.89799999999997,35.940000000000005,polar,large,"polar,large"
JXZZEXZZKAWDSP-UHFFFAOYSA-N,solute_6793,O=C(NC1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccccc1,347.46200000000016,48.13,polar,large,"polar,large"
XURNBUIOYGQEST-UHFFFAOYSA-N,solute_6794,O=C1NC(=O)C2(N1)c1ccccc1CCCc1ccccc12,292.33799999999997,58.2,polar,small,"polar,small"
GXEUNRBWEAIPCN-UHFFFAOYSA-N,solute_6795,O=C(O)C(Cl)c1ccc(C2CCCCC2)c(Cl)c1,287.1859999999999,37.3,polar,small,"polar,small"
QESYWDIVVXFNFE-AQFVONAPSA-N,solute_6796,Br.Oc1ccc2c(c1)C13CCCCC1C(C2)N(CCCc1ccccc1)CC3,442.44100000000026,23.47,polar,large,"polar,large"
WYQIVZKSGGKUAX-UHFFFAOYSA-N,solute_6797,O=C(O)c1ccc2ccc3ccccc3c2c1,222.243,37.3,polar,small,"polar,small"
CIZZXSRPHLRRDJ-OSMRDGEFSA-N,solute_6798,C=CCO[NH+]=C(c1ccc(OC)c(OC)c1)c1nccc2cc(OC)c(OC)cc12.[Cl-],444.9150000000002,73.01000000000002,polar,large,"polar,large"
GWWLWDURRGNSRS-UHFFFAOYSA-N,solute_6799,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21,291.438,3.24,non-polar,small,"non-polar,small"
IJTPQQVCKPZIMV-UHFFFAOYSA-N,solute_6800,O=C(O)CCC(=O)c1ccc(C2CCCCC2)c(Cl)c1,294.7779999999999,54.37,polar,small,"polar,small"
IXBBCDAOBKUSMR-UHFFFAOYSA-N,solute_6801,CCC(C)[NH2+]CCOC(=O)C1c2ccccc2-c2ccccc21.[Cl-],345.87,42.91,polar,large,"polar,large"
NZHGWWWHIYHZNX-CSKARUKUSA-N,solute_6802,COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1OC,327.33600000000007,84.86,polar,large,"polar,large"
KSODCNQBMBVLAJ-FERBBOLQSA-M,solute_6803,Cc1ccc(C(=O)NC(Cc2ccc(O)cc2)C(=O)[O-])cc1N(CCCl)CCCl.[Na+],461.32100000000025,92.7,polar,large,"polar,large"
IQHTWFLGOPQPHD-XJXJHPFJSA-M,solute_6805,C=CC1C[N+]2(C(C)C)CCC1CC2C(O)c1ccnc2ccc(OC)cc12.[Cl-],402.9660000000001,42.35000000000001,polar,large,"polar,large"
PWNAWGHHNQQCAK-UHFFFAOYSA-N,solute_6806,CC(C)(C)NCCC(=O)N1c2ccccc2Sc2ccccc21.Cl,362.9260000000001,32.34,polar,large,"polar,large"
DQPNQXUUCWOWCK-UHFFFAOYSA-N,solute_6807,CCOC(C(=O)N(C)CCN(C)CCc1ccccc1)(c1ccccc1)c1ccccc1.Cl,467.05300000000005,32.78,polar,large,"polar,large"
RHILVRBEZGPKBY-UHFFFAOYSA-N,solute_6808,CC(C(=O)O)c1ccc2oc(-c3ccc(I)cc3)nc2c1,393.18,63.33,polar,large,"polar,large"
UCLGZUJDUNXHRN-UHFFFAOYSA-N,solute_6809,Cl.c1ccc2c(c1)CCc1ccccc1C21CCCNC1,299.8450000000001,12.03,non-polar,small,"non-polar,small"
DZVPGIORVGSQMC-UHFFFAOYSA-N,solute_6810,COc1nc(C(Cl)(Cl)Cl)c(Cl)c(OC)c1Cl,325.40600000000006,31.35,polar,large,"polar,large"
WMIAQXWVZFAYQL-UHFFFAOYSA-N,solute_6811,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1S(=O)(=O)c1ccccc1,392.4360000000001,83.55000000000001,polar,large,"polar,large"
RFCPBHVDIXXSGT-UHFFFAOYSA-N,solute_6812,OCCN1CC2CCC(C1)N2CCCN1c2ccccc2Sc2ccccc21,395.57200000000006,29.950000000000003,polar,large,"polar,large"
RGIKAFNNDOGWCB-UHFFFAOYSA-N,solute_6813,CCOC(=O)Cc1ccc2sc(-c3ccc(OC)cc3)nc2c1,327.40500000000003,48.42,polar,large,"polar,large"
HHJOQUFREITNNC-UHFFFAOYSA-N,solute_6814,COc1ccc(CN2CCc3c(cccc3NC(=O)c3cc(OC)c(OC)c(OC)c3)C2)cc1.Cl,499.00700000000023,69.26,polar,large,"polar,large"
